timestamp;ax;ay;az;gx;gy;gz
246669;-0.9449;-0.2516;0.3503;-0.0916;0.3969;0.1679
246714;-0.9531;-0.2548;0.3476;-0.1221;0.1145;0.1298
246759;-0.9376;-0.2543;0.3522;-0.0458;0.0611;0.0687
246804;-0.9476;-0.2468;0.3478;0.0458;0.1450;0.0992
246849;-0.9573;-0.2511;0.3432;0.0916;0.2137;0.1145
246894;-0.9496;-0.2389;0.3221;0.0992;-0.1221;0.2519
246939;-0.9373;-0.2386;0.3545;0.0076;-0.0458;-0.1145
246984;-0.9457;-0.2589;0.3485;0.1374;0.7710;-0.0992
247029;-0.9577;-0.2610;0.3241;0.0305;-0.6183;0.1298
247074;-0.9404;-0.2454;0.3367;0.2595;-0.0611;0.0076
247119;-0.9503;-0.2555;0.3472;0.0840;-0.6794;-0.2901
247164;-0.9305;-0.2624;0.3438;0.2672;-0.0992;-0.3511
247209;-0.9555;-0.2481;0.3492;0.3588;-0.1527;-0.2366
247254;-0.9492;-0.2569;0.3544;0.4046;-0.9466;-0.2977
247299;-0.9326;-0.2665;0.3648;0.5115;-0.5802;-0.2672
247344;-0.9502;-0.2578;0.3687;0.5115;-0.3053;-0.2901
247389;-0.9505;-0.2450;0.3457;0.2290;-0.3588;-0.3053
247434;-0.9362;-0.2443;0.3534;0.2901;-0.3359;-0.4275
247479;-0.9417;-0.2558;0.3536;0.4809;-0.2061;-0.1527
247524;-0.9285;-0.2450;0.3687;0.2977;-0.9084;-0.1450
247569;-0.9234;-0.2427;0.3732;0.1832;0.0611;0.1221
247614;-0.9398;-0.2523;0.3766;-0.1527;0.7710;-0.1069
247659;-0.9460;-0.2593;0.3473;-0.0534;10.153;0.0382
247704;-0.9633;-0.2560;0.3319;0.0840;-0.0382;0.1221
247749;-0.9572;-0.2676;0.3235;0.7939;-0.5115;0.3817
247794;-0.9685;-0.2964;0.2969;26.947;-0.0916;11.679
247839;-0.9900;-0.3434;0.2384;60.611;-26.260;25.191
247884;-0.9823;-0.2206;0.2545;83.053;-61.145;29.695
247929;-0.9916;-0.2046;0.2681;50.611;-123.053;0.4733
247974;-0.8657;-0.2104;0.4360;53.969;-14.351;-0.2977
248019;-10.908;-0.2136;0.2309;44.885;-67.481;-22.290
248064;-0.9734;-0.2402;0.4434;44.275;-169.618;-0.5878
248109;-0.8797;-0.2139;0.5487;58.092;-129.389;-13.511
248154;-0.9050;-0.2709;0.5731;56.489;-129.389;-13.435
248199;-0.8404;-0.2450;0.6025;57.328;-97.481;-12.672
248244;-0.8748;-0.2374;0.6163;58.397;-110.076;-0.8702
248289;-0.8505;-0.2037;0.6438;55.344;-116.870;-0.5191
248334;-0.8025;-0.2090;0.6951;49.924;-103.511;-0.7710
248379;-0.7690;-0.2035;0.7305;53.511;-58.702;-11.298
248424;-0.8362;-0.1974;0.6764;51.679;-82.519;-18.092
248469;-0.7296;-0.1738;0.8109;38.092;-63.053;-12.977
248514;-0.7229;-0.1347;0.8134;20.229;-0.7176;-28.550
248559;-0.7195;-0.1361;0.8483;-0.4198;72.061;-33.664
248604;-0.7482;-0.1462;0.7586;-19.771;185.878;-45.802
248649;-0.9219;-0.1977;0.6203;-27.863;191.985;-58.397
248694;-10.070;-0.2298;0.4859;-35.344;125.725;-70.153
