timestamp;ax;ay;az;gx;gy;gz
168189;-0.1390;0.2028;0.4510;0.8931;27.634;-0.5420
168234;-0.1217;0.2091;0.4504;0.7099;0.5496;-0.7099
168279;-0.0997;0.1926;0.4561;0.2824;10.458;-11.374
168324;-0.1116;0.2144;0.4544;0.1069;16.794;-12.061
168369;-0.1396;0.2282;0.4016;0.2595;0.8550;-15.267
168414;-0.1588;0.2001;0.3616;14.351;-0.8702;-12.824
168459;-0.1227;0.2176;0.4017;22.443;-53.130;-17.786
168504;-0.1361;0.2494;0.4316;22.977;-12.061;-12.137
168549;-0.1879;0.1331;0.4294;20.305;-0.3130;-15.267
168594;-0.2279;0.1641;0.4540;20.076;-20.611;-0.5573
168639;-0.2161;0.2497;0.5264;18.931;-0.2901;-0.0458
168684;-0.2970;0.1995;0.4949;28.168;33.740;11.603
168729;-0.2764;0.2290;0.3284;30.687;-39.466;40.611
168774;-0.1489;0.2845;0.3697;22.748;-85.725;17.023
168819;-0.0959;0.3464;0.4053;0.8626;29.313;0.5267
168864;-0.1943;0.2706;0.3224;-0.3282;75.344;-14.046
168909;-0.2827;0.1870;0.3285;-0.8244;25.954;-15.725
168954;-0.2162;0.2052;0.3539;-10.916;-31.374;-0.7328
168999;-0.1680;0.2044;0.4023;-17.710;-11.603;-0.8321
169044;-0.2095;0.2332;0.3917;-24.580;40.916;-0.6336
169089;-0.2590;0.1790;0.3609;-32.366;23.511;-0.4962
169134;-0.2245;0.1543;0.4120;-38.168;13.053;0.0534
169179;-0.2460;0.3893;0.3970;-31.603;55.191;14.122
169224;-0.2084;0.1488;0.4205;-20.305;40.763;0.9771
169269;-0.2040;0.0557;0.4343;0.1069;39.237;0.3664
169314;-0.3044;0.1874;0.4356;16.336;29.847;20.611
169359;-0.2197;0.3228;0.3992;18.321;-55.420;29.160
169404;-0.0916;0.2131;0.5015;12.214;-26.031;12.137
169449;-0.1436;0.1895;0.4402;0.4733;40.076;0.3206
169494;-0.1780;0.2208;0.3973;-0.4580;-0.8168;-0.3435
169539;-0.0982;0.2566;0.4521;-0.8550;-30.076;-0.4733
169584;-0.0717;0.2314;0.4469;-0.6336;0.1221;-0.7786
169629;-0.0914;0.1827;0.4274;-0.3893;0.9771;-0.6183
169674;-0.1117;0.1829;0.3959;-0.5038;-0.5725;-0.1069
169719;-0.0805;0.2281;0.4218;-0.5496;-0.9466;-0.4046
169764;-0.1234;0.2417;0.4206;-0.3817;0.8550;-0.4656
